  id    ra_pix    dec_pix    major    minor    pa  ra_hms     dec_dms        maj_as    min_as    vmin_kms    vmax_kms    collide    v1    v2    v_ang  good    date
  53      2120        916       26       22   130  0:38:15.1  +40:26:43.8       160       120        -520        -482          0  -515  -492      158  pv      250410-1352
  54      1613        919       22       21    90  0:41:55.2  +40:28:03          60        60        -460        -390          0  -455  -395       38  pp      250430-1756
  55      1890        932       11       10   150  0:39:53.8  +40:28:36.0       120        90        -560        -530          0  -555  -533      158  pv      250410-1552
  56      1807        938       34       31     0  0:40:38.2  +40:30:09.0       180       180        -555        -505          0  -550  -515      158  pv      250410-1559
  57      1848        944       11       11    90  0:40:30    +40:30:17.6       120        80        -527        -500          0  -527  -500       38  nn      250410-1610
  58      1744        949       18       16    90  0:40:57.8  +40:30:05.8       150       150        -515        -490          1  -515  -490       38  nn      250430-1757
  59      1800        961       42       39     0  0:40:33.2  +40:31:04.2       240       210        -575        -500          0  -565  -515      158  pv      250414-1459
  60      2118        962       21       19     0  0:38:13.8  +40:30:53.9       120       105        -500        -450          0  -500  -450       38  nn      250414-1501
  61      1738        964       23       21     0  0:40:50.4  +40:31:21.0       130       130        -488        -455          0  -488  -455       38  nn      250414-1504
  62      1998        974       15       14   110  0:39:06.3  +40:33:05.9       120        70        -550        -500          0  -550  -500       38  pp      250414-1508
  63      1699        975       21       19     0  0:41:32.5  +40:32:20.9       135       120        -490        -425          0  -462  -442      158  pv      250414-1514
  64      2163        979       43       39     0  0:37:53.9  +40:32:15.9       215       195        -455        -420          0  -450  -425      128  pv      250414-1516
  65      1856        981       19       17    90  0:40:08.6  +40:32:42.3       120       105        -565        -540          0  -558  -545      128  pv      250414-1520
  66      2100        982       19       16    45  0:38:21.5  +40:32:35.1       100        80        -460        -443          0  -456  -444      128  pv      250430-1759
  67      1923        984       39       27   120  0:39:40.5  +40:33:16.6       195       145        -545        -500          0  -545  -515      158  pv      250414-1528
