  id    ra_pix    dec_pix    major    minor    pa  ra_hms     dec_dms        maj_as    min_as    vmin_kms    vmax_kms    collide    v1    v2    v_ang  good    date
 225      1434       1802       17       17     0  0:43:14.2  +41:41:13.8       130       130        -255        -200          0  -255  -200       38  nn      250421-1550
 226      1151       1803       26       24     0  0:45:20.5  +41:41:12.5       130       120        -200        -100          0  -200  -100       38  nn      250421-1550
 227      1466       1806       15       13    90  0:43:00.0  +41:41:33.9        75        65        -240        -170          0  -240  -170       38  nn      250421-1551
 228      1497       1814       16       13     0  0:42:46.1  +41:42:24.0       124       124        -260        -218          0  -255  -228      158  pv      250421-1553
 229      1614       1816       19       13    40  0:41:53.8  +41:42:23.3       130       110        -280        -240          0  -280  -240       38  pp      250421-1555
 230       860       1820       27       19   150  0:47:30.5  +41:42:22.0       160       105        -250        -160          0  -250  -160       38  pp      250421-1555
 231      1344       1821       20       16     0  0:43:54.4  +41:42:47.7       130       120        -155        -100          0  -152  -105      158  pv      250502-1822
 232      1103       1831       15       12   110  0:45:42.1  +41:43:30.5        95        70        -160        -120          0  -148  -128       98  pv      250421-1601
 233      1006       1835       16       12    90  0:46:25.4  +41:43:45.9       150       105        -220        -170          0  -207  -188       68  pv      250421-1605
 234      1542       1836       20       15    90  0:42:26.0  +41:44:03.9       100        75        -280        -210          0  -280  -210       38  nn      250421-1607
 235      1404       1842       16       15     0  0:43:27.6  +41:44:33.5        80        75        -230        -180          0  -230  -180       38  pp      250421-1608
 236      1054       1846       14       14     0  0:46:04.0  +41:44:43.3       100       100        -220        -100          0  -220  -100       38  nn      250421-1609
 237      1036       1856       10        8    80  0:46:12.1  +41:45:32.4        50        40        -200        -100          0  -200  -100       38  vv      250421-1610
 238      1586       1858       14       10     0  0:42:06.3  +41:45:53.6       100       100        -275        -252          0  -272  -257      188  pv      250421-1612
 239      1121       1864       14       13     0  0:45:34.1  +41:46:16.3        70        65        -120         -40          0  -120   -40       38  pp      250421-1613
 240      1371       1871       10        9    90  0:43:42.4  +41:46:58.1        90        90        -210        -100          0  -210  -100       38  pp      250421-1618
 241      1486       1871       18       18     0  0:42:51.0  +41:46:59.0        90        90        -255        -200          0  -238  -212       68  pp      250502-1822
 242      1328       1873       16       16     0  0:44:01.6  +41:47:07.4        82        82        -180        -130          0  -173  -145      128  pv      250502-1823
 243       812       1881       24       16    90  0:47:52.4  +41:47:23.6       120        80        -220        -160          0  -220  -160       38  pp      250421-1622
 244      1295       1883       11       10    90  0:44:16.4  +41:47:56.8        85        85        -150         -80          0  -137   -92       68  pv      250421-1643
 245      1045       1884       13       13     0  0:46:08.2  +41:47:52.9       100       100        -150        -100          0  -150  -100       38  nn      250421-1644
 246      1537       1886       16       15    90  0:42:28.2  +41:48:14.0       120       120        -260        -230          0  -260  -230       38  vv      250421-1646
 247      1399       1887       17       15     0  0:43:29.9  +41:48:18.5       100        90        -240        -190          0  -231  -195       68  pv      250421-1647
 248      1570       1888       15       13    90  0:42:13.4  +41:48:23.8       105        90        -270        -230          0  -264  -237       38  pv      250421-1649
 249       938       1890       16       13   130  0:46:56.1  +41:48:17.0        80        65        -210        -170          0  -210  -170       38  nn      250421-1649
 250      1441       1893       17       14    70  0:43:11.1  +41:48:48.8       128        95        -250        -180          0  -232  -201      158  nn      250502-1824
 251      1126       1899       20       20     0  0:45:32.0  +41:49:11.5       100       100        -150         -70          0  -150   -70       38  nn      250423-0957
 252      1007       1902       30       21   100  0:46:25.3  +41:49:20.9       150       105        -200         -40          0  -200   -40       38  vv      250423-0958
 253      1067       1903       20       18     0  0:45:58.4  +41:49:28.9       100        90        -120         -70          0  -108   -72      158  pv      250423-1001
 254      1092       1906       17       14    90  0:45:47.3  +41:49:45.1       135       115        -130         -50          0  -120   -80       98  pv      250423-1017
 255      1303       1912       18       17     0  0:44:12.9  +41:48:41.9       114       108        -160        -120          0  -151  -133      128  nn      250502-1825
 256      1033       1917       18       18     0  0:46:13.7  +41:50:37.3        90        90        -200         -40          0  -200   -40       38  nn      250423-1023
 257      1516       1918       23       22     0  0:42:37.6  +41:50:54.0       144       104        -300        -200          0  -300  -200       38  pp      250423-1024
 258      1155       1921       16       13   130  0:45:19.1  +41:51:02.6        80        65        -100         -40          0  -100   -40       38  pp      250423-1025
 259      1229       1928       12       11    90  0:44:46.0  +41:51:40.1       107       102        -124         -76          0  -122   -85      158  pv      250423-1027
 260       922       1929       25       18   110  0:47:03.4  +41:51:31.0       135       102        -190        -170          0  -185  -173      128  pv      250502-1825
 261       878       1933       28       19   120  0:47:13.2  +41:51:48.2       255       185        -200        -140          0  -182  -156       38  pv      250423-1033
 262      1241       1945       20       19     0  0:44:40.7  +41:53:05.4       100        95        -200         -40          0  -200   -40       38  nn      250423-1034
 263      1422       1946       37       29     0  0:43:19.7  +41:53:13.7       255       245        -240        -175          0  -225  -180      158  nn      250502-1826
 264      1275       1949       14       11     0  0:44:25.5  +41:53:26.3       127       106        -165         -90          0  -160  -112      188  nn      250502-1826
 265      1206       1949       22       17    90  0:44:56.4  +41:53:24.4       137       123         -90         -60          0   -90   -60      128  pv      250502-1827
 266       751       1949       12       12     0  0:48:20.1  +41:52:58.8        60        60        -220        -150          0  -220  -150       38  pp      250423-1046
 267       995       1950       19       12   105  0:46:30.9  +41:53:20.3       135        95        -145        -110          0  -142  -120      158  pv      250423-1048
 268      1010       1959       11        9   105  0:46:28.2  +41:54:06.1       123       104        -110         -75          0  -105   -82       98  pv      250423-1053
 269      1334       1964       30       19     0  0:43:59.1  +41:54:42.6       150        95        -220        -100          0  -220  -100       38  nn      250423-1053
 270       997       1978       38       35     0  0:46:30.1  +41:55:40.4       190       175        -140         -50          0  -140   -50       38  vv      250423-1054
 271      1111       1990       12       12    40  0:45:39.1  +41:56:45.9        60        60         -80         -30          0   -80   -30       38  nn      250423-1055
 272       946       2002       14       13    80  0:46:53.1  +41:57:37.5        70        65        -200         -40          0  -200   -40       38  nn      250423-1055
 273      1376       2003       21       19   130  0:43:40.3  +41:57:58.2       144       134        -225        -180          0  -220  -187      188  pv      250423-1058
 274      1083       2011       19       18     0  0:45:51.7  +41:58:29.7        95        90        -120         -20          0  -120   -20       38  nn      250423-1059
 275       978       2012       13       12    80  0:46:38.8  +41:58:29.4        65        60        -196         -11          0  -196   -11       38  nn      250423-1059
 276      1153       2014       33       30     0  0:45:20.3  +41:58:47.6       184       164         -95         -35          0   -95   -35       38  pp      250423-1102
 277       844       2016       14       12     0  0:47:38.9  +41:58:40.9       104        94        -200        -130          0  -200  -130       38  pp      250423-1102
 278      1335       2022       14       12    90  0:43:58.7  +41:59:32.6        70        60        -220        -100          0  -220  -100       38  nn      250423-1103
 279       937       2028       14       13    90  0:46:57.3  +41:59:47.0       124       104        -120         -50          0  -120   -50       38  vv      250423-1105
 280      1209       2036       22       15     0  0:44:55.3  +42:00:39.5       165       130        -100         -73          0  -100   -73       38  vv      250423-1107
 281      1005       2042       35       34   120  0:46:26.8  +42:01:00.8       224       174        -120         -70          0  -112   -77       98  pv      250423-1110
 282      1279       2043       12       12     0  0:44:23.9  +42:01:16.4        60        60        -200        -100          0  -200  -100       38  nn      250423-1110
 283      1072       2059       14       14     0  0:45:56.9  +42:02:29.2        70        70        -100         -20          0  -100   -20       38  nn      250423-1111
 284       871       2059       14       12    90  0:47:27.1  +42:02:07.7        94        83        -140        -112          0  -130  -116       98  pv      250423-1114
 285      1213       2059       21       20     0  0:44:53.6  +42:03:04.6       105       100        -105         -82          0  -100   -87      128  nn      250423-1117
 286      1249       2060       18       16    80  0:44:47.4  +42:02:40.7       127       103        -157        -135          0  -157  -138      128  vv      250502-1828
 287      1191       2062       13       12     0  0:45:00.5  +42:03:38.9        98        98        -105         -82          0  -102   -87       38  nn      250502-1828
 288       937       2065       37       28     0  0:47:07.5  +42:04:22.0       103       103        -105         -92          0  -102   -94       98  pv      250502-1829
 289      1290       2067       14       12     0  0:44:19.0  +42:03:16.7        96        96        -200        -145          0  -182  -152      128  pv      250423-1615
 290      1153       2068       12       12     0  0:45:23.5  +42:02:47.6       103       103        -120         -82          0  -120   -82       38  vv      250423-1617
 291       845       2076       15       14    90  0:47:38.9  +42:03:40.9        75        70        -190         -50          0  -190   -50       38  nn      250423-1617
 292      1327       2078       16       13     0  0:44:02.4  +42:04:12.5        80        65        -210        -170          0  -210  -170       38  nn      250423-1618
 293      1037       2083       27       24    60  0:46:12.7  +42:04:27.5       245       245        -100         -30          0  -100   -30       38  nn      250423-1619
 294       815       2084       16       13    90  0:47:53.7  +42:04:02.8        84        69        -170        -140          0  -161  -145       68  pv      250423-1621
 295      1150       2097       10       10     0  0:45:22.0  +42:05:42.5        50        50        -120         -30          0  -120   -30       38  nn      250423-1621
 296      1173       2105       15       12     0  0:45:14.0  +42:07:00          82        82        -120         -75          0  -120   -75       38  pp      250423-1623
 297      1277       2107       26       22    80  0:44:24.9  +42:06:36.4       174       134        -200        -162          0  -197  -170       38  pv      250423-1625
 298       973       2108       27       20   100  0:46:41.5  +42:06:29.1       149       128        -100         -48          0   -93   -54       38  pv      250423-1628
 299       916       2109       11       10     0  0:47:07.2  +42:06:30.7        98        98         -95         -77          0   -95   -77       38  vv      250423-1701
 300       790       2132       25       20    90  0:48:05.9  +42:08:06.9       136       130        -145        -123          0  -141  -129      188  pv      250423-1703
 301       762       2134       19       14    90  0:48:16.5  +42:08:24.7        95        70        -150        -125          0  -150  -125       38  nn      250423-1704
 302      1131       2143       21       18    30  0:45:30.7  +42:09:31.7       108       108        -105         -70          0  -100   -73       68  pv      250423-1706
 303      1176       2145       15       12     0  0:45:10.5  +42:09:43.4        86        72        -170        -125          0  -160  -135       98  pv      250423-1708
 304       973       2145       29       22    80  0:46:41.7  +42:09:34.1       145       110        -100         -30          0  -100   -30       38  nn      250423-1709
 305      1251       2150       22       20    90  0:44:36.7  +42:10:10.8       110       100        -200        -100          0  -200  -100       38  pp      250423-1709
 306       824       2152       13       12    90  0:47:48.8  +42:09:59.4        65        60        -150         -50          0  -150   -50       38  nn      250423-1710
 307      1063       2160       10        9     0  0:46:01.3  +42:10:53.8       103       103         -85         -50          0   -77   -62      128  pv      250423-1712
 308       843       2162       64       48   130  0:47:40.3  +42:10:50.8       320       240        -200         -40          0  -200   -40       38  nn      250423-1724
 309      1026       2164       13       13     0  0:46:18.0  +42:11:12.0       123       123         -80         -40          0   -71   -46       68  pv      250423-1726
 310       859       2170       12       10    90  0:47:33.2  +42:11:31.9        60        50        -150         -20          0  -150   -20       38  nn      250423-1727
 311      1202       2171       15       11     0  0:44:58.8  +42:11:54.3       165       165        -200        -100          0  -200  -100       38  pp      250423-1728
 312       929       2173        9        8    90  0:47:01.7  +42:11:51.5        45        40         -80         -20          0   -80   -20       38  nn      250423-1728
 313       774       2178       14       13     0  0:48:11.5  +42:12:05.6        70        65        -150        -100          0  -150  -100       38  vv      250423-1729
 314      1055       2181       17       15     0  0:46:05.0  +42:12:38.4        85        75        -100         -30          0  -100   -30       38  nn      250423-1730
 315      1093       2182       30       25   150  0:45:47.9  +42:12:45.2       195       145        -110         -60          0  -101   -72      128  vv      250502-1831
 316      1123       2183       14       11     0  0:45:34.4  +42:12:51.4        70        55        -200         -30          0  -200   -30       38  pp      250423-1733
 317      1067       2186       16       10     0  0:45:59.6  +42:13:04.0        80        50        -120         -20          0  -120   -20       38  nn      250423-1733
 318      1206       2196       19       18    80  0:44:57.1  +42:14:29.5       132       106        -165        -140          0  -159  -145       38  pv      250423-1737
 319      1168       2197       15       12     0  0:45:14.2  +42:14:03.2        75        60        -200        -100          0  -200  -100       38  nn      250423-1737
 320       965       2201       17       12    80  0:46:45.6  +42:14:13.7        85        60         -60         -30          0   -60   -30       38  nn      250423-1738
 321      1178       2213       12       12     0  0:45:09.8  +42:15:23.5        98        98        -170        -120          0  -155  -130       38  pv      250423-1741
 322      1039       2216       34       30   130  0:46:16.4  +42:15:32.6       194       140         -82         -60          0   -80   -62      158  pv      250423-1745
 323       779       2216       12       12     0  0:48:09.5  +42:15:16.0        93        93        -140        -120          0  -138  -124      188  pv      250423-1746
 324      1237       2223       18       16     0  0:44:43.2  +42:16:15.4       118       118        -185        -140          0  -178  -150      128  pv      250423-1748
 325      1083       2227       34       28    90  0:45:52.6  +42:16:29.7       270       230        -145         -60          0  -124   -65      128  nn      250502-1832
 326      1103       2231       14       13    80  0:45:43.6  +42:16:50.6       102       102        -190        -100          0  -190  -100       38  nn      250423-1752
 327      1257       2239       14       13    90  0:44:34.3  +42:17:36.0        70        65        -220        -160          0  -220  -160       38  nn      250423-1752
 328      1188       2243       14       12   120  0:45:05.4  +42:17:53.9       138       102        -180        -120          0  -180  -120       38  pp      250423-1754
 329       843       2244       16       15    90  0:47:40.8  +42:17:40.8        80        75        -100         -20          0  -100   -20       38  nn      250423-1755
 330      1143       2245       21       17     0  0:45:25.6  +42:18:02.3       134       134        -170        -135          0  -162  -142      128  pv      250423-1758
 331      1021       2252       18       12    80  0:46:16.2  +42:18:31.8        97        97        -120         -75          0  -114   -83      128  pv      250423-1800
 332       907       2266       15       12     0  0:47:12.1  +42:19:35.1       130       130        -100         -30          0  -100   -30       38  nn      250423-1801
 333       964       2268       11       11     0  0:46:46.4  +42:19:48.6        87        87        -100         -40          0  -100   -40       38  nn      250423-1802
 334      1091       2269       22       17    90  0:45:49.2  +42:20:00.1       137       102        -160        -116          0  -156  -124       98  pv      250423-1805
 335       871       2279       12       11    90  0:47:28.4  +42:20:37.8        60        55         -80         -20          0   -80   -20       38  nn      250423-1805
 336      1014       2281       17       13     0  0:46:24.0  +42:20:59.4       128        87        -127         -75          0  -120   -85      158  pv      250423-1807
 337       774       2285       19       15    90  0:48:12.2  +42:21:00.6        95        75        -150         -20          0  -150   -20       38  nn      250423-1809
 338       736       2295       37       26   100  0:48:29.4  +42:21:47.6       185       130        -120         -50          0  -120   -50       38  nn      250423-1809
 339      1258       2295       14       10    90  0:44:33.9  +42:22:16.0       104       104        -200        -170          0  -200  -170       38  nn      250423-1810
 340      1085       2299       13       11     0  0:45:52.0  +42:22:29.9        82        82        -130        -108          0  -126  -113      128  pv      250423-1813
 341      1047       2303       53       51     0  0:46:09.2  +42:22:48.1       265       255        -200         -50          0  -200   -50       38  nn      250423-1813
 342      1123       2309       18       15    90  0:45:34.9  +42:23:21.5       119        86        -150        -120          0  -144  -125       98  pv      250423-1816
 343      1096       2315       14       13     0  0:45:45.1  +42:23:50.4        98        98        -150        -120          0  -150  -120       38  vv      250423-1818
 344       882       2317       17       15   100  0:47:23.7  +42:23:48.5       147       121         -70         -50          0   -67   -55      158  pv      250502-1834
 345       970       2319       13       13     0  0:46:44.0  +42:24:04.0       109       109        -100         -50          0  -100   -50       38  nn      250423-1820
 346       915       2323       16       13    80  0:47:08.9  +42:24:20.7        80        65        -100         -30          0  -100   -30       38  nn      250423-1820
 347       790       2325       21       15   107  0:48:05.3  +42:24:21.9       105        75        -100         -60          0  -100   -60       38  nn      250423-1821
 348       760       2325       18       13   107  0:48:21.0  +42:24:19.5        90        65        -100         -50          0  -100   -50       38  pp      250423-1822
 349       943       2332       14       14     0  0:46:56.3  +42:25:07.4        93        93        -100         -55          0   -90   -67       98  pv      250423-1823
 350      1031       2339       16       14   110  0:46:16.6  +42:25:47.3       146       122        -120         -75          0  -107   -85       68  pv      250423-1826
 351       991       2340       13       13     0  0:46:34.6  +42:25:50.2        97        97        -120         -75          0  -107   -85      188  pv      250424-1745
 352       842       2341       10        9    80  0:47:41.9  +42:25:45.8        50        45         -80         -30          0   -80   -30       38  nn      250424-1800
 353       972       2351       14       13     0  0:46:43.3  +42:26:44.1       104       104        -100         -75          0   -96   -80       98  pv      250424-1801
 354       733       2363       18       16    90  0:48:31.3  +42:27:27.3        90        80        -100         -60          0  -100   -60       38  pp      250424-1802
 355       969       2366       31       24     0  0:46:44.7  +42:27:00.0       107       107        -100         -75          0   -95   -78       98  pv      250424-1805
 356       896       2371       12       11    90  0:47:17.7  +42:28:19.5        60        55        -100         -40          0  -100   -40       38  nn      250424-1805
 357       867       2393       36       32    90  0:47:31.0  +42:30:07.5       180       160        -100         -30          0  -100   -30       38  nn      250424-1806
 358       946       2398       15       15     0  0:46:55.3  +42:30:37.6        75        75        -130         -60          0  -130   -60       38  nn      250424-1806
 359       884       2406       17       15     0  0:47:23.4  +42:31:13.7        85        75        -100         -30          0  -100   -30       38  nn      250424-1807
 360       756       2408       27       25    90  0:48:21.3  +42:31:14.3       135       125         -80         -30          0   -80   -30       38  nn      250424-1807
 361       995       2439       16       16     0  0:46:33.3  +42:34:05.5        80        80        -200         -40          0  -200   -40       38  nn      250424-1808
 362       902       2449       46       33     0  0:47:30.5  +42:30:00.0       240       240        -145         -70          0  -145   -70       38  nn      250424-1809
 363       865       2473       32       28     0  0:47:32.4  +42:36:47.5       133       133        -100         -60          0   -97   -70       68  pv      250424-1811
 364       801       2481       18       16    70  0:48:05.2  +42:37:22.8       118        80         -80         -40          0   -71   -47      158  pv      250424-1813
 365       731       2493       16       14    90  0:48:33.2  +42:38:17.2        80        70        -120         -78          0  -120   -78       38  nn      250424-1814
