id  ra_pix dec_pix major minor pa  ra_hms    dec_dms     maj_as min_as vmin_kms vmax_kms collide v1   v2   v_ang good date        center_vel expansion_vel radius_pc r_kpc   R_kpc   alpha_deg N_HI_cm2    h_pc    n_HI_cm3 dot_e_bubble SN_num   M_sweep_g  p_rad_cgs  p_perSN_cgs turb_v_min_kms turb_v_max_kms SN_weaver SN_chevalier SN_hybrid SN_weaver_original n_HI_center_cm-3 n_HI_ellipse_cm-3 n_HI_ring_cm-3
17  1890   932     11    10    150 0:39:53.8 +40:28:36.0 120    90     -560     -530     0       -555 -533 158   pv   250410-1552 -544       11            432       13.0786 13.033  83.0991   2.75767e+21 390.528 0.264744 2.5114e-28   12.5199  5.6438e+39 6.2082e+45 4.9587e+44  17.6801        19.9116        25.0398   57.3456      25.0398   12.5199            0.186439         0.188662          0.19563       
18  1807   938     34    31    0   0:40:38.2 +40:30:09.0 180    180    -555     -505     0       -550 -515 158   pv   250410-1559 -532.5     17.5          648       15.1279 14.9178 74.272    2.73793e+21 420.684 0.244008 8.6522e-28   98.5696  1.7556e+40 3.0723e+46 3.1169e+44  18.7447        20.794         197.139   355.251      197.139   98.5696            0.171836         0.176935          0.158766      
19  1800   961     42    39    0   0:40:33.2 +40:31:04.2 240    210    -575     -500     0       -565 -515 158   pv   250414-1459 -540       25            864       14.2184 14.1388 74.8457   3.13415e+21 408.221 0.287847 3.0666e-27   562.499  4.9091e+40 1.2273e+47 2.1818e+44  17.3963        19.8363        1125      1728.13      1125      562.499            0.202709         0.198948          0.188975      
20  1699   975     21    19    0   0:41:32.5 +40:32:20.9 135    120    -490     -425     0       -462 -442 158   pv   250414-1514 -452       10            486       19.7458 17.8979 62.8848   1.96776e+21 468.366 0.157515 9.3606e-29   8.76537  4.7811e+39 4.7811e+45 5.4545e+44  18.9575        38.7398        17.5307   40.5118      17.5307   8.76537            0.110926         0.114766          0.119552      
24  1923   984     39    27    120 0:39:40.5 +40:33:16.6 195    145    -545     -500     0       -545 -515 158   pv   250414-1528 -530       15            702       11.7221 11.8112 90.4346   2.42544e+21 370.979 0.24512  6.2068e-28   92.4934  2.2423e+40 3.3634e+46 3.6364e+44  20.4678        23.885         184.987   369.385      184.987   92.4934            0.17262          0.184192          0.186058      
25  1793   985     26    23    0   0:40:50.2 +40:32:00.4 205    205    -525     -465     0       -520 -470 98    pv   250414-1537 -495       25            738       15.2278 13.322  75.5342   3.47709e+21 395.152 0.329904 3.6308e-27   401.768  3.5063e+40 8.7658e+46 2.1818e+44  17.2801        19.4747        803.536   1231.18      803.536   401.768            0.232327         0.237267          0.26526       
26  1799   1002    17    12    90  0:40:31.5 +40:34:29.3 120    100    -580     -545     0       -577 -548 38    pv   250414-1553 -562.5     14.5          432       12.3367 12.4105 77.4682   3.55857e+21 380.568 0.350574 7.8166e-28   28.8075  7.4736e+39 1.0837e+46 3.7618e+44  19.111         21.0841        57.615    115.626      57.615    28.8075            0.246883         0.264975          0.295463      
27  1650   1008    25    24    90  0:41:34.9 +40:35:22.8 135    120    -500     -440     0       -500 -445 158   pv   250414-1559 -472.5     27.5          486       18.1816 18.7749 57.6779   1.79067e+21 482.399 0.13917  1.6699e-27   58.5677  4.2243e+39 1.1617e+46 1.9835e+44  23.0416        36.9513        117.135   145.351      117.135   58.5677            0.0980071        0.101215          0.104997      
28  2112   1057    29    23    0   0:38:15.9 +40:38:49.3 145    145    -450     -400     0       -440 -400 188   pv   250414-1621 -420       20            522       20.9959 21.0879 112.547   5.43954e+20 519.407 0.039264 1.6832e-28   10.8293  1.4767e+39 2.9535e+45 2.7273e+44  11.4923        13.4877        21.6586   28.1919      21.6586   10.8293            0.0276505        0.0288104         0.0340286     
29  1996   1065    41    33    100 0:39:10.8 +40:38:40.0 205    165    -483     -415     0       -480 -425 68    pv   250417-1617 -452.5     27.5          738       14.0655 14.797  104.617   2.62312e+21 418.752 0.234855 3.2464e-27   346.076  2.4961e+40 6.8643e+46 1.9835e+44  17.6266        20.7029        692.152   961.553      692.152   346.076            0.165391         0.154724          0.135768      
30  1609   1072    19    19    0   0:41:55.8 +40:40:13.3 67     67     -435     -390     0       -425 -400 158   pv   250430-1806 -412.5     12.5          241.2     17.7826 17.6801 53.9057   2.15185e+21 464.881 0.173543 2.0294e-28   1.84458  6.4393e+38 8.0491e+44 4.3636e+44  18.6249        42.9625        3.68916   6.9359       3.68916   1.84458            0.122213         0.120899          0.110247      
31  1691   1073    31    29    90  0:41:20.8 +40:40:27.1 180    180    -500     -410     0       -485 -434 128   pv   250417-1641 -459.5     25.5          648       13.4063 13.3092 66.9262   3.56766e+21 394.947 0.338674 3.9576e-27   290.486  2.4367e+40 6.2136e+46 2.139e+44   17.2801        19.4747        580.972   868.764      580.972   290.486            0.238503         0.22371           0.198388      
32  1950   1105    18    14    110 0:39:25.0 +40:42:58.3 150    100    -505     -450     0       -495 -460 128   pv   250417-1655 -477.5     17.5          540       13.4539 13.3232 104.404   2.27612e+21 395.17  0.215947 8.1516e-28   50.4826  8.9913e+39 1.5735e+46 3.1169e+44  17.2801        19.4747        100.965   175.415      100.965   50.4826            0.152075         0.159285          0.16824       
34  1741   1112    15    14    0   0:40:58.7 +40:43:40.9 75     70     -570     -480     0       -544 -510 128   pv   250418-1244 -527       17            270       9.63457 9.56578 78.0611   2.37092e+21 335.052 0.265303 1.0828e-27   7.31592  1.3808e+39 2.3474e+45 3.2086e+44  25.6952        34.8689        14.6318   24.3978      14.6318   7.31592            0.186833         0.192077          0.189332      
35  1810   1124    42    24    100 0:40:30.3 +40:44:59.9 190    150    -598     -550     0       -595 -558 188   pv   250502-1756 -576.5     18.5          684       8.46873 8.56392 89.9134   1.91199e+21 319.023 0.224698 1.2412e-27   119.303  1.9014e+40 3.5175e+46 2.9484e+44  21.5467        26.2571        238.606   414.46       238.606   119.303            0.158238         0.187053          0.222077      
36  1588   1134    26    23    0   0:42:06.0 +40:45:33.6 180    150    -445     -390     0       -445 -410 68    pv   250418-1257 -427.5     17.5          648       15.6945 15.5835 52.4401   2.00754e+21 431.336 0.174496 6.0346e-28   70.4896  1.2555e+40 2.1971e+46 3.1169e+44  18.0414        26.5795        140.979   244.03       140.979   70.4896            0.122884         0.126818          0.121847      
37  1621   1139    18    15    0   0:41:51.5 +40:45:58.2 90     75     -460     -390     0       -440 -415 98    pv   250418-1301 -427.5     12.5          324       13.5766 13.4699 58.7294   2.54733e+21 397.519 0.24025  3.2855e-28   6.18952  2.1607e+39 2.7009e+45 4.3636e+44  16.6943        17.7364        12.379    25.0723      12.379    6.18952            0.16919          0.170936          0.157751      
38  1532   1162    22    18    90  0:42:30.6 +40:47:53.9 150    130    -410     -360     0       -400 -375 38    pv   250418-1309 -387.5     12.5          540       17.5297 17.4149 42.9291   1.82515e+21 460.639 0.148551 1.7531e-28   17.718   6.1852e+39 7.7315e+45 4.3636e+44  18.1464        43.3256        35.436    72.0309      35.436    17.718             0.104613         0.10926           0.109905      
39  1582   1164    21    20    125 0:42:08.6 +40:48:03.6 105    100    -460     -390     0       -450 -410 188   pv   250418-1311 -430       20            378       14.4418 14.3307 52.3566   2.27277e+21 411.292 0.207177 1.1216e-27   21.6978  2.9588e+39 5.9176e+45 2.7273e+44  17.1387        20.0545        43.3956   66.343       43.3956   21.6978            0.145899         0.153486          0.166579      
40  1485   1172    18    11    110 0:42:45.3 +40:48:04.0 130    90     -410     -385     0       -408 -387 188   pv   250418-1334 -397.5     10.5          468       19.4639 19.797  34.8529   1.33007e+21 498.751 0.099983 6.4592e-29   5.4775   2.71e+39   2.8455e+45 5.1948e+44  18.9407        23.3816        10.955    23.1753      10.955    5.4775             0.0704108        0.0734942         0.0752731     
