id  ra_pix dec_pix major minor pa  ra_hms    dec_dms     maj_as min_as vmin_kms vmax_kms collide v1   v2   v_ang good date        center_vel expansion_vel radius_pc r_kpc   R_kpc   alpha_deg N_HI_cm2    h_pc    n_HI_cm3 dot_e_bubble SN_num   M_sweep_g  p_rad_cgs  p_perSN_cgs turb_v_min_kms turb_v_max_kms SN_weaver SN_chevalier SN_hybrid SN_weaver_original n_HI_center_cm-3 n_HI_ellipse_cm-3 n_HI_ring_cm-3
77  1534   1780    14    10    110 0:42:29.6 +41:39:24.0 140    100    -275     -230     0       -260 -240 38    pv   250421-1539 -250       10            504       15.7886 15.9046 217.952   2.00295e+21 436.474 0.172048 1.0971e-28   10.6777  5.8242e+39 5.8242e+45 5.4545e+44  16.9004        23.2697        21.3554   50.0941      21.3554   10.6777            0.12116          0.125668          0.134815      
78  1237   1799    13    12    90  0:44:42.1 +41:40:55.3 155    155    -130     -60      0       -120 -67  98    pv   250421-1546 -93.5      26.5          558       8.21349 8.16514 -81.4593  9.96655e+20 312.642 0.119518 1.9801e-27   70.6914  5.4908e+39 1.4551e+46 2.0583e+44  22.0236        26.838         141.383   179.079      141.383   70.6914            0.0841677        0.0873131         0.0965513     
79  1497   1814    16    13    0   0:42:46.1 +41:42:24.0 124    124    -260     -218     0       -255 -228 158   pv   250421-1553 -241.5     13.5          446.4     15.4518 15.4585 225.235   2.50281e+21 429.336 0.218559 3.4861e-28   17.177   5.1409e+39 6.9402e+45 4.0404e+44  20.6524        23.7212        34.354    68.2652      34.354    17.177             0.153914         0.156839          0.15954       
80  1344   1821    20    16    0   0:43:54.4 +41:42:47.7 130    120    -155     -100     0       -152 -105 158   pv   250502-1822 -128.5     23.5          468       8.0424  8.11514 256.705   2.40615e+21 311.842 0.289283 3.3509e-27   79.3844  7.8408e+39 1.8426e+46 2.3211e+44  22.0236        26.838         158.769   235.299      158.769   79.3844            0.203721         0.21417           0.218106      
81  1103   1831    15    12    110 0:45:42.1 +41:43:30.5 95     70     -160     -120     0       -148 -128 98    pv   250421-1601 -138       10            342       14.3521 14.2641 -69.7183  3.81532e+21 410.225 0.348694 2.3659e-28   6.76179  3.6882e+39 3.6882e+45 5.4545e+44  17.1387        20.0545        13.5236   32.9591      13.5236   6.76179            0.245559         0.247452          0.248175      
82  1006   1835    16    12    90  0:46:25.4 +41:43:45.9 150    105    -220     -170     0       -207 -188 68    pv   250421-1605 -197.5     9.5           540       20.1282 20.0285 -62.4448  1.16963e+21 502.455 0.087274 4.145e-29    6.01247  3.6338e+39 3.4521e+45 5.7416e+44  17.4906        21.4523        12.0249   27.0364      12.0249   6.01247            0.0614607        0.0632864         0.067045      
83  1586   1858    14    10    0   0:42:06.3 +41:45:53.6 100    100    -275     -252     0       -272 -257 188   pv   250421-1612 -264.5     7.5           360       23.2522 23.3695 210.881   7.30514e+20 555.912 0.049267 1.0406e-29   0.626798 6.078e+38  4.5585e+44 7.2727e+44  12.0323        16.6135        1.2536    2.88861      2.88861   0.626798           0.0346953        0.0362455         0.0364303     
84  1328   1873    16    16    0   0:44:01.6 +41:47:07.4 82     82     -180     -130     0       -173 -145 128   pv   250502-1823 -159       14            295.2     9.76677 9.84661 254.537   3.78574e+21 339.546 0.418012 9.4024e-28   10.2172  2.8434e+39 3.9807e+45 3.8961e+44  27.9212        36.9315        20.4344   40.8648      20.4344   10.2172            0.294375         0.295703          0.280165      
85  1295   1883    11    10    90  0:44:16.4 +41:47:56.8 85     85     -150     -80      0       -137 -92  68    pv   250421-1643 -114.5     22.5          306       9.19858 9.26181 259.186   2.57519e+21 330.189 0.292405 2.8076e-27   20.5614  2.2154e+39 4.9846e+45 2.4242e+44  22.369         24.6172        41.1228   59.5231      41.1228   20.5614            0.205919         0.211014          0.221533      
86  1399   1887    17    15    0   0:43:29.9 +41:48:18.5 100    90     -240     -190     0       -231 -195 68    pv   250421-1647 -213       18            360       13.6561 13.7606 240.961   3.54782e+21 402.169 0.330742 1.3349e-27   24.2371  4.0803e+39 7.3446e+45 3.0303e+44  16.3606        17.4256        48.4742   83.0136      48.4742   24.2371            0.232917         0.238861          0.236067      
87  1570   1888    15    13    90  0:42:13.4 +41:48:23.8 105    90     -270     -230     0       -264 -237 38    pv   250421-1649 -250.5     13.5          378       23.8441 23.961  213.687   6.70981e+20 565.376 0.044495 5.3894e-29   2.1232   6.3545e+38 8.5786e+44 4.0404e+44  9.44336        14.5557        4.2464    6.83323      4.2464    2.1232             0.0313344        0.0296633         0.0307286     
88  1067   1903    20    18    0   0:45:58.4 +41:49:28.9 100    90     -120     -70      0       -108 -72  158   pv   250423-1001 -90        18            360       14.407  14.3306 -74.2788  3.34221e+21 411.29  0.304665 1.2024e-27   22.3261  3.7586e+39 6.7655e+45 3.0303e+44  17.1387        20.0545        44.6522   75.7186      44.6522   22.3261            0.214553         0.217511          0.2028        
89  1092   1906    17    14    90  0:45:47.3 +41:49:45.1 135    115    -130     -50      0       -120 -80  98    pv   250423-1017 -100       20            486       13.0702 13.0026 -76.9285  4.04729e+21 390.041 0.389036 2.2209e-27   86.5959  1.1809e+40 2.3617e+46 2.7273e+44  17.6801        19.9116        173.192   294.314      173.192   86.5959            0.273969         0.288623          0.299243      
90  1229   1928    12    11    90  0:44:46.0 +41:51:40.1 107    102    -124     -76      0       -122 -85  158   pv   250423-1027 -103.5     18.5          385.2     9.65562 9.69074 264.783   3.04533e+21 337.052 0.338747 1.7712e-27   32.123   5.1195e+39 9.4711e+45 2.9484e+44  25.6952        34.8689        64.246    109.425      64.246    32.123             0.238554         0.242742          0.24303       
91  922    1929    25    18    110 0:47:03.4 +41:51:31.0 135    102    -190     -170     0       -185 -173 128   pv   250502-1825 -179       6             486       22.0091 21.9142 -65.8764  1.26829e+21 532.627 0.089276 1.0077e-29   1.78848  2.7098e+39 1.6259e+45 9.0909e+44  11.708         15.146         3.57696   10.491       3.57696   1.78848            0.0628702        0.0637515         0.0594622     
92  878    1933    28    19    120 0:47:13.2 +41:51:48.2 255    185    -200     -140     0       -182 -156 38    pv   250423-1033 -169       13            918       23.2212 24.4875 -63.6441  1.09062e+21 573.8   0.071261 7.5943e-29   45.1652  1.4577e+40 1.895e+46  4.1958e+44  8.05901        14.8848        90.3304   175.009      90.3304   45.1652            0.0501837        0.0517733         0.0474132     
93  1206   1949    22    17    90  0:44:56.4 +41:53:24.4 137    123    -90      -60      0       -90  -60  128   pv   250502-1827 -75        15            493.2     10.0866 10.1151 265.909   3.02723e+21 343.842 0.330083 9.0179e-28   43.193   1.0471e+40 1.5707e+46 3.6364e+44  28.1727        37.7508        86.386    171.354      86.386    43.193             0.232453         0.24954           0.261429      
94  995    1950    19    12    105 0:46:30.9 +41:53:20.3 135    95     -145     -110     0       -142 -120 158   pv   250423-1048 -131       11            486       17.1104 17.0298 -72.7679  1.75644e+21 454.476 0.144897 1.1811e-28   9.75643  4.3981e+39 4.8379e+45 4.9587e+44  14.5215        23.3085        19.5129   42.1616      19.5129   9.75643            0.10204          0.107559          0.110298      
95  1010   1959    11    9     105 0:46:28.2 +41:54:06.1 123    104    -110     -75      0       -105 -82  98    pv   250423-1053 -93.5      11.5          442.8     16.5601 16.0112 -74.7538  2.12626e+21 438.18  0.181929 1.7576e-28   10.1265  4.1766e+39 4.8031e+45 4.7431e+44  15.8631        19.584         20.253    43.3023      20.253    10.1265            0.128119         0.131804          0.142124      
96  1376   2003    21    19    130 0:43:40.3 +41:57:58.2 144    134    -225     -180     0       -220 -187 188   pv   250423-1058 -203.5     16.5          518.4     18.4854 18.5916 239.17    1.33109e+21 479.466 0.104085 2.7142e-28   19.1376  3.8342e+39 6.3265e+45 3.3058e+44  23.0416        36.9513        38.2752   62.8034      38.2752   19.1376            0.073299         0.0823919         0.0976685     
97  1005   2042    35    34    120 0:46:26.8 +42:01:00.8 224    174    -120     -70      0       -112 -77  98    pv   250423-1110 -94.5      17.5          806.4     14.9274 14.8786 -81.2944  2.51491e+21 420.057 0.224466 7.9712e-28   174.75   3.1124e+40 5.4467e+46 3.1169e+44  17.6266        20.7029        349.5     640.111      349.5     174.75             0.158075         0.160376          0.141505      
98  871    2059    14    12    90  0:47:27.1 +42:02:07.7 94     83     -140     -112     0       -130 -116 98    pv   250423-1114 -123       7             338.4     21.1141 20.9823 -72.9645  1.13834e+21 517.716 0.082436 1.5201e-29   0.758827 8.447e+38  5.9129e+44 7.7922e+44  11.4923        13.4877        1.51765   3.84846      3.84846   0.758827           0.0580535        0.0586635         0.0588674     
99  1290   2067    14    12    0   0:44:19.0 +42:03:16.7 96     96     -200     -145     0       -182 -152 128   pv   250423-1615 -167       15            345.6     17.4392 17.5355 247.276   1.92541e+21 462.568 0.156057 3.1692e-28   7.02628  1.7033e+39 2.555e+45  3.6364e+44  18.6249        42.9625        14.0526   24.4135      14.0526   7.02628            0.109899         0.115462          0.125437      
100 815    2084    16    13    90  0:47:53.7 +42:04:02.8 84     69     -170     -140     0       -161 -145 68    pv   250423-1621 -153       8             302.4     23.7506 23.4125 -71.3997  9.3599e+20  556.599 0.063047 1.6142e-29   0.540915 4.6101e+38 3.6881e+44 6.8182e+44  12.0323        16.6135        1.08183   2.41903      2.41903   0.540915           0.0443994        0.0435142         0.0422868     
101 1277   2107    26    22    80  0:44:24.9 +42:06:36.4 174    134    -200     -162     0       -197 -170 38    pv   250423-1625 -183.5     13.5          626.4     18.8267 18.9236 246.917   1.38626e+21 484.777 0.107211 1.5145e-28   23.281   6.9677e+39 9.4064e+45 4.0404e+44  24.3294        36.0449        46.562    88.4685      46.562    23.281             0.0755007        0.0792731         0.0859417     
102 973    2108    27    20    100 0:46:41.5 +42:06:29.1 149    128    -100     -48      0       -93  -54  38    pv   250423-1628 -73.5      19.5          536.4     15.6255 15.5888 -83.6085  2.70091e+21 431.421 0.234718 1.1228e-27   66.776   9.5788e+39 1.8679e+46 2.7972e+44  18.0414        26.5795        133.552   219.453      133.552   66.776             0.165294         0.173351          0.16418       
103 790    2132    25    20    90  0:48:05.9 +42:08:06.9 136    130    -145     -123     0       -141 -129 188   pv   250423-1703 -135       6             489.6     23.8676 23.5188 -73.1719  9.73675e+20 558.302 0.065386 7.041e-30    1.3392   2.0291e+39 1.2175e+45 9.0909e+44  12.0323        16.6135        2.6784    7.57418      2.6784    1.3392             0.0460462        0.0468659         0.045689      
104 1131   2143    21    18    30  0:45:30.7 +42:09:31.7 108    108    -105     -70      0       -100 -73  68    pv   250423-1706 -86.5      13.5          388.8     15.2262 15.2849 260.275   2.34287e+21 426.559 0.205924 3.3059e-28   10.6928  3.2002e+39 4.3203e+45 4.0404e+44  20.0369        23.2209        21.3856   41.4993      21.3856   10.6928            0.145017         0.148078          0.155171      
105 1176   2145    15    12    0   0:45:10.5 +42:09:43.4 86     72     -170     -125     0       -160 -135 98    pv   250423-1708 -147.5     12.5          309.6     16.5391 16.6153 255.743   2.00551e+21 447.845 0.167893 2.038e-28    3.77394  1.3174e+39 1.6468e+45 4.3636e+44  15.2265        18.4917        7.54788   14.5642      7.54788   3.77394            0.118235         0.118701          0.116012      
106 1063   2160    10    9     0   0:46:01.3 +42:10:53.8 103    103    -85      -50      0       -77  -62  128   pv   250423-1712 -69.5      7.5           370.8     14.8584 14.8895 265.511   3.25558e+21 420.231 0.290454 8.1159e-29   4.03792  3.9156e+39 2.9367e+45 7.2727e+44  17.6266        20.7029        8.07584   23.106       8.07584   4.03792            0.204545         0.203408          0.194997      
107 1026   2164    13    13    0   0:46:18.0 +42:11:12.0 123    123    -80      -40      0       -71  -46  68    pv   250423-1726 -58.5      12.5          442.8     14.9658 14.9787 268.425   2.95971e+21 421.66  0.263163 3.3928e-28   17.3064  6.0415e+39 7.5519e+45 4.3636e+44  18.7447        20.794         34.6128   73.5816      34.6128   17.3064            0.185326         0.188687          0.194882      
108 1206   2196    19    18    80  0:44:57.1 +42:14:29.5 132    106    -165     -140     0       -159 -145 38    pv   250423-1737 -152       7             475.2     20.3082 20.1101 250.336   8.69336e+20 503.762 0.064699 1.2261e-29   1.64916  1.8358e+39 1.2851e+45 7.7922e+44  14.8233        19.6109        3.29832   8.462        3.29832   1.64916            0.0455628        0.0493195         0.0549982     
109 1178   2213    12    12    0   0:45:09.8 +42:15:23.5 98     98     -170     -120     0       -155 -130 38    pv   250423-1741 -142.5     12.5          352.8     19.6779 19.7641 252.233   1.03746e+21 498.226 0.078069 8.5182e-29   2.59671  9.0649e+38 1.1331e+45 4.3636e+44  18.9407        23.3816        5.19342   9.28571      5.19342   2.59671            0.0549783        0.0566441         0.0587543     
110 779    2216    12    12    0   0:48:09.5 +42:15:16.0 93     93     -140     -120     0       -138 -124 188   pv   250423-1746 -131       7             334.8     22.3381 22.2735 -77.6983  1.28998e+21 538.377 0.089833 1.593e-29    0.800802 8.9143e+38 6.24e+44   7.7922e+44  12.9743        16.7054        1.6016    4.09819      4.09819   0.800802           0.0632624        0.0643194         0.0645778     
111 1039   2216    34    30    130 0:46:16.4 +42:15:32.6 194    140    -82      -60      0       -80  -62  158   pv   250423-1745 -71        9             698.4     16.1542 16.2618 264.307   2.46196e+21 442.189 0.208742 9.5784e-29   27.9219  1.8803e+40 1.6922e+46 6.0606e+44  16.0479        19.0393        55.8438   148.52       55.8438   27.9219            0.147001         0.148664          0.146395      
112 1237   2223    18    16    0   0:44:43.2 +42:16:15.4 118    118    -185     -140     0       -178 -150 128   pv   250423-1748 -164       14            424.8     22.7469 22.8448 246.314   6.4533e+20  547.516 0.04419  6.1642e-29   3.21862  8.9572e+38 1.254e+45  3.8961e+44  13.2529        15.3224        6.43724   10.2696      6.43724   3.21862            0.0311195        0.0325726         0.0324546     
113 1143   2245    21    17    0   0:45:25.6 +42:18:02.3 134    134    -170     -135     0       -162 -142 128   pv   250423-1758 -152       10            482.4     19.8192 19.9009 253.969   1.1786e+21  500.414 0.088302 4.9114e-29   4.80544  2.6211e+39 2.6211e+45 5.4545e+44  17.4906        21.4523        9.61088   20.7011      9.61088   4.80544            0.0621848        0.0627113         0.063295      
114 1021   2252    18    12    80  0:46:16.2 +42:18:31.8 97     97     -120     -75      0       -114 -83  128   pv   250423-1800 -98.5      15.5          349.2     17.2215 17.1429 263.822   2.32781e+21 456.286 0.19127  4.3448e-28   9.48576  2.1536e+39 3.3381e+45 3.5191e+44  17.2083        39.1585        18.9715   33.1571      18.9715   9.48576            0.134697         0.133842          0.137033      
115 1091   2269    22    17    90  0:45:49.2 +42:20:00.1 137    102    -160     -116     0       -156 -124 98    pv   250423-1805 -140       16            493.2     19.1468 19.2177 257.317   1.30261e+21 489.483 0.099773 2.3238e-28   14.8546  3.1651e+39 5.0641e+45 3.4091e+44  21.8959        34.1034        29.7092   49.1101      29.7092   14.8546            0.070263         0.0743808         0.0780915     
116 1014   2281    17    13    0   0:46:24.0 +42:20:59.4 128    87     -127     -75      0       -120 -85  158   pv   250423-1807 -102.5     17.5          460.8     17.9443 17.9583 262.888   2.18184e+21 469.333 0.174293 5.5396e-28   25.3181  4.5094e+39 7.8914e+45 3.1169e+44  21.5361        39.993         50.6362   84.1243      50.6362   25.3181            0.122742         0.130914          0.135669      
117 1085   2299    13    11    0   0:45:52.0 +42:22:29.9 82     82     -130     -108     0       -126 -113 128   pv   250423-1813 -119.5     6.5           295.2     20.2218 20.2957 256.458   1.31025e+21 506.732 0.096942 1.4623e-29   0.51077  6.5941e+38 4.2862e+44 8.3916e+44  14.8233        19.6109        1.02154   2.71651      2.71651   0.51077            0.068269         0.0680563         0.0668586     
118 1123   2309    18    15    90  0:45:34.9 +42:23:21.5 119    86     -150     -120     0       -144 -125 98    pv   250423-1816 -134.5     9.5           428.4     21.9911 22.0755 252.964   7.33454e+20 535.208 0.051379 2.2909e-29   1.76734  1.0682e+39 1.0147e+45 5.7416e+44  11.792         15.7704        3.53468   7.25336      3.53468   1.76734            0.0361825        0.0384721         0.0404824     
120 943    2332    14    14    0   0:46:56.3 +42:25:07.4 93     93     -100     -55      0       -90  -67  98    pv   250423-1823 -78.5      11.5          334.8     18.7343 18.7651 265.574   2.38625e+21 482.241 0.185519 1.6285e-28   4.46353  1.8409e+39 2.1171e+45 4.7431e+44  23.0416        36.9513        8.92706   18.5003      8.92706   4.46353            0.130647         0.134601          0.136685      
121 1031   2339    16    14    110 0:46:16.6 +42:25:47.3 146    122    -120     -75      0       -107 -85  68    pv   250423-1826 -96        11            525.6     20.3226 20.3873 258.896   1.35564e+21 508.197 0.100011 7.2905e-29   8.51801  3.8398e+39 4.2238e+45 4.9587e+44  14.5519        18.267         17.036    35.5405      17.036    8.51801            0.0704304        0.0720866         0.0783319     
122 991    2340    13    13    0   0:46:34.6 +42:25:50.2 97     97     -120     -75      0       -107 -85  188   pv   250424-1745 -96        11            349.2     19.5045 19.5561 261.794   1.76525e+21 494.897 0.13373  1.0011e-28   3.34022  1.5057e+39 1.6563e+45 4.9587e+44  18.7657        26.2799        6.68044   13.7402      6.68044   3.34022            0.094176         0.0991319         0.109225      
123 972    2351    14    13    0   0:46:43.3 +42:26:44.1 104    104    -100     -75      0       -96  -80  98    pv   250424-1801 -88        8             374.4     19.5693 19.6165 262.652   1.73972e+21 495.864 0.131539 3.7803e-29   2.14181  1.8254e+39 1.4603e+45 6.8182e+44  18.7657        26.2799        4.28362   10.7337      4.28362   2.14181            0.0926332        0.0957997         0.114548      
124 969    2366    31    24    0   0:46:44.7 +42:27:00.0 107    107    -100     -75      0       -95  -78  98    pv   250424-1805 -86.5      8.5           385.2     19.6231 20.0661 262.188   1.67593e+21 503.058 0.124904 4.244e-29    2.5004   1.8877e+39 1.6045e+45 6.4171e+44  17.4906        21.4523        5.0008    12.0495      5.0008    2.5004             0.0879603        0.0925893         0.0865535     
125 865    2473    32    28    0   0:47:32.4 +42:36:47.5 133    133    -100     -60      0       -97  -70  68    pv   250424-1811 -83.5      13.5          478.8     22.0485 22.0862 264.389   7.86213e+20 535.38  0.055057 7.0424e-29   5.33929  1.598e+39  2.1573e+45 4.0404e+44  11.792         15.7704        10.6786   18.1357      10.6786   5.33929            0.0387728        0.0396661         0.0414921     
126 801    2481    18    16    70  0:48:05.2 +42:37:22.8 118    80     -80      -40      0       -71  -47  158   pv   250424-1813 -59        12            424.8     22.1015 22.0851 267.812   7.66881e+20 535.362 0.053705 4.8248e-29   2.8739   1.0886e+39 1.3063e+45 4.5455e+44  11.792         15.7704        5.7478    10.2963      5.7478    2.8739             0.0378206        0.0405019         0.0438452     
