3113 11.313854 42.100952 18.972 0.022 19.088 0.013 0.15   150.8  10.6   8.1  14.3  1.2e+03  8.6e+02  1.2e+03   3.9   3.4   4.6  3.8e+02  2.6e+02  3.9e+02
3114 11.353188 42.102402 19.212 0.025 18.829 0.012 0.16   148.5 191.0 177.7 203.1  7.1e+04  7.1e+04  7.1e+04 115.6 108.2 123.1  3.5e+04  3.5e+04  3.5e+04
3115 11.375583 42.117275 16.905 0.008 16.841 0.005 0.22   776.2  50.0  48.1  54.1  1.0e+05  1.0e+05  1.0e+05  17.8  16.2  19.3  4.3e+04  4.3e+04  4.3e+04
3116 11.657773 42.130791 17.815 0.013 17.585 0.007 0.20   479.2 115.7 108.7 122.7  1.0e+05  1.0e+05  1.0e+05  69.3  65.6  73.6  9.2e+04  9.2e+04  9.2e+04
3117 11.414747 42.133190 18.651 0.018 18.798 0.011 0.17   130.5   7.6   6.2   9.3  1.3e+03  8.0e+02  1.6e+03   3.2   2.9   3.7  4.0e+02  4.0e+02  5.8e+02
3118 11.165559 42.137543 18.147 0.014 18.007 0.008 0.20   144.0  79.7  74.3  85.0  5.4e+04  4.6e+04  6.4e+04  48.1  42.8  52.2  4.0e+04  3.0e+04  4.0e+04
3119 11.648038 42.142410 18.756 0.023 18.534 0.012 0.25   445.5 109.0  97.2 121.3  6.0e+04  6.0e+04  6.0e+04  65.5  59.2  72.4  5.2e+04  4.2e+04  5.2e+04
3120 11.189198 42.145592 18.978 0.022 19.128 0.014 0.15   211.5   7.5   5.8   9.6  6.8e+02  5.1e+02  1.1e+03   3.2   2.8   3.7  2.6e+02  2.6e+02  3.8e+02
3121 11.649871 42.158993 16.608 0.008 16.350 0.004 0.28  2313.0 121.3 117.1 125.6  6.0e+05  6.0e+05  6.0e+05  72.7  70.0  75.4  5.2e+05  5.2e+05  6.4e+05
3122 11.637672 42.149734 19.078 0.024 18.779 0.012 0.27   173.2 142.2 129.5 154.9  5.8e+04  5.8e+04  1.8e+05  86.1  77.6  94.8  7.4e+04  6.2e+04  7.4e+04
