alpha           r               x1_mom0         x1_mom1         x1_mom2         x2_mom0         x2_mom1         x2_mom2         x3_mom0         x3_mom1         x3_mom2         
   177.16236     10008.94336         3.06354      -555.99188        28.10098         2.33609      -573.73193        10.22071         2.33609      -573.73193        10.22071    
   177.34931     10212.81445         2.69953      -551.32013        29.00417         1.59264      -570.04272        11.76810         1.59264      -570.04272        11.76810    
   177.40731     10415.94141         2.56076      -548.36346        29.11201         1.43008      -566.66400        12.26620         1.43008      -566.66400        12.26620    
   177.49545     10642.14746         2.53933      -546.62616        26.95395         1.52069      -561.95648        11.63816         1.52069      -561.95648        11.63816    
   177.54831     10845.51660         2.49773      -544.36108        26.14274         1.42310      -559.34717        11.31054         1.42310      -559.34717        11.31054    
   177.63000     11072.08691         2.65442      -540.41339        28.18344         1.49859      -556.90399        10.40716         1.49859      -556.90399        10.40716    
   177.67833     11275.66797         3.13481      -543.68793        22.39928         2.74564      -556.01038         9.31561         2.74564      -556.01038         9.31561    
   177.83436     11482.19238         3.35575      -541.46503        22.97042         3.01972      -553.55103         9.46286         3.01972      -553.55103         9.46286    
   177.79860     11706.33203         3.53591      -539.58435        21.84275         3.18211      -549.75177        10.17144         3.18211      -549.75177        10.17144    
   177.94670     11913.45410         3.80341      -538.74011        22.63133         3.68811      -549.34137         9.66883         3.68811      -549.34137         9.66883    
   177.91018     12137.45410         4.11293      -537.64349        22.57900         4.25205      -547.17725        10.52179         4.25205      -547.17725        10.52179    
   178.05107     12345.12402         4.18042      -536.25720        21.85003         4.28374      -544.46521        10.40415         4.28374      -544.46521        10.40415    
   178.08747     12549.30664         4.34203      -534.55243        19.57453         4.63156      -539.04797        10.97735         4.63156      -539.04797        10.97735    
   178.14828     12777.16113         4.31955      -533.47333        20.56139         4.32423      -538.33038         9.49723         4.32423      -538.33038         9.49723    
   178.18190     12981.46875         4.13560      -533.86267        21.69191         3.61136      -540.97882         9.67266         3.61136      -540.97882         9.67266    
   178.23904     13209.52930         3.82069      -535.15503        20.48772         2.68501      -543.99988         8.72588         2.68501      -543.99988         8.72588    
   178.27017     13413.94824         3.83563      -536.23724        19.50898         2.54123      -544.97174         8.35874         2.54123      -544.97174         8.35874    
   178.39191     13623.35254         4.45728      -537.74481        18.41067         4.05918      -543.42670         9.64944         4.05918      -543.42670         9.64944    
   178.44284     13851.85449         4.81027      -539.13403        17.72567         4.85496      -543.71698        11.68405         4.85496      -543.71698        11.68405    
   178.46953     14056.50684         5.02595      -539.58655        18.81267         5.49602      -543.40918        13.78854         5.49602      -543.40918        13.78854    
   178.51765     14285.16406         4.74741      -540.79175        18.44160         5.23534      -543.81171        13.59743         5.23534      -543.81171        13.59743    
   178.54247     14489.89746         3.96079      -540.77972        20.06558         3.77192      -543.12891        16.34170         3.77192      -543.12891        16.34170    
   178.65116     14700.56934         3.67062      -541.98840        19.52757         3.86639      -542.18280        20.91932         3.86639      -542.18280        20.91932    
   178.61113     14923.50195         3.48993      -542.64893        20.44487         4.18718      -543.07745        22.35710         4.18718      -543.07745        22.35710    
   178.71570     15134.48535         2.70696      -540.49908        21.96372         2.88113      -539.31281        24.33512         2.88113      -539.31281        24.33512    
   178.67588     15357.30273         1.91581      -537.90527        23.66632         0.54320      -498.96686        12.56326         0.54320      -498.96686        12.56326    
   178.77662     15568.57812         1.41502      -541.95142        22.44655         0.65230      -558.57593         6.48439         0.65230      -558.57593         6.48439    
   178.79602     15773.56152         1.17497      -544.87500        19.73095         0.67209      -559.22021         6.61335         0.67209      -559.22021         6.61335    
   178.83420     16002.83203         1.02109      -542.29675        19.70760         0.53073      -556.00275    NaN                  0.53073      -556.00275    NaN             
   178.85235     16207.86621         1.03972      -541.56049        17.61806         0.63913      -553.11292         2.60601         0.63913      -553.11292         2.60601    
   178.94548     16419.92969         0.95681      -540.65094        17.34943         0.57493      -552.07251         0.32923         0.57493      -552.07251         0.32923    
   178.90572     16642.31641         0.80543      -538.03290        19.39856         0.29909      -552.83417    NaN                  0.29909      -552.83417    NaN             
   178.99576     16854.61328         0.75759      -536.87305        20.88365         0.28743      -552.75305    NaN                  0.28743      -552.75305    NaN             
   178.95637     17076.89844         0.77134      -531.48029        26.89519         0.25598      -552.58112    NaN                  0.25598      -552.58112    NaN             
   179.04349     17289.41602         0.65012      -534.80084        21.62469         0.21918      -555.23083         2.57342         0.21918      -555.23083         2.57342    
   179.05783     17494.61719         0.62044      -532.94952        20.86236         0.14520      -559.03156    NaN                  0.14520      -559.03156    NaN             
   179.08887     17724.33008         0.57861      -521.91498        28.45769         0.12890      -514.42700    NaN                  0.12890      -514.42700    NaN             
   179.10234     17929.56445         0.48003      -513.54675        34.23125         0.05571      -459.59579         5.43359         0.05571      -459.59579         5.43359    
   179.13207     18159.34961         0.39580      -511.10065        32.62133         0.04547      -461.36169         2.88885         0.04547      -461.36169         2.88885    
   179.14473     18364.61328         0.42573      -508.78580        33.09372         0.11109      -468.05264         8.42442         0.11109      -468.05264         8.42442    
   179.22358     18577.93945         0.39244      -509.16153        32.56492         0.09730      -468.84479         7.69674         0.09730      -468.84479         7.69674    
